id;time_start;time_end;act;V01;V02;V03;V04;V05;V06;V07;V08;V09;V10;V11;objective
2;24/04/2005;10/08/2006;func_255;cat_2;cat_10;cat_110;cat_1;cat_01;cat_4;cat_3;0.04;1;0.33;0.1451569;0.535012631
801;10/08/2006;3/12/2007;func_001;cat_2;cat_04;cat_213;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1500588;0.541067027
801;24/04/2005;10/08/2006;func_255;cat_2;cat_04;cat_213;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1451569;0.535012631
137;23/07/2005;27/05/2006;func_255;cat_3;cat_02;cat_093;cat_2;cat_01;cat_4;cat_3;0;1;0.33;0.1437908;0.358973447
1019;25/08/2005;18/12/2005;func_112;cat_4;cat_05;cat_460;cat_2;cat_01;cat_4;cat_3;0;1;0.5;0.1666667;0.190379603
1136;25/08/2005;18/12/2005;func_155;cat_3;cat_09;cat_242;cat_2;cat_01;cat_1;cat_3;0;1;0.33;0.1437908;0.190379603
192;9/10/2004;16/11/2005;func_255;cat_2;cat_02;cat_152;cat_2;cat_01;cat_4;cat_3;0.08;1;0.33;0.1449412;0.460138195
417;15/01/2005;5/01/2006;func_255;cat_2;cat_08;cat_395;cat_2;cat_01;cat_1;cat_3;0.04;1;0.33;0.1437908;0.407659807
423;15/01/2005;12/06/2006;func_255;cat_4;cat_04;cat_127;cat_1;cat_01;cat_4;cat_3;0.04;1;0.33;0.1437908;0.574326474
870;15/01/2005;12/06/2006;func_255;cat_2;cat_04;cat_230;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1437908;0.574326474
694;9/10/2004;9/11/2005;func_255;cat_2;cat_10;cat_157;cat_2;cat_01;cat_4;cat_4;0.08;1;0.33;0.1449412;0.452269174
658;24/04/2005;7/03/2006;func_255;cat_2;cat_09;cat_237;cat_2;cat_01;cat_1;cat_3;0.04;1;0.33;0.1451569;0.368345964
496;24/04/2005;10/08/2006;func_255;cat_2;cat_04;cat_186;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1451569;0.535012631
1216;27/05/2005;22/09/2005;func_229;cat_4;cat_04;cat_241;cat_2;cat_01;cat_1;cat_3;0.08;1;0.33;0.1616523;0.192173819
1216;22/09/2005;12/09/2006;func_255;cat_4;cat_04;cat_241;cat_2;cat_01;cat_1;cat_3;0.04;1;0.33;0.1437908;0.407659807
458;15/01/2005;5/01/2006;func_255;cat_2;cat_04;cat_198;cat_2;cat_01;cat_1;cat_4;0.04;1;0.33;0.1437908;0.407659807
804;24/04/2005;10/08/2006;func_255;cat_2;cat_27;cat_175;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1451569;0.535012631
487;17/02/2005;6/01/2006;func_255;cat_2;cat_26;cat_342;cat_2;cat_01;cat_4;cat_3;0;1;0.33;0.1449412;0.374297207
637;24/04/2005;8/04/2006;func_105;cat_4;cat_04;cat_105;cat_2;cat_01;cat_4;cat_3;0.12;1;0.33;0.1633987;0.402281299
637;8/04/2006;17/05/2007;func_255;cat_4;cat_04;cat_105;cat_2;cat_01;cat_4;cat_3;0.08;1;0.33;0.1449412;0.460138195
1038;24/04/2005;10/08/2006;func_255;cat_2;cat_02;cat_104;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1451569;0.535012631
403;25/08/2005;18/12/2005;func_216;cat_2;cat_15;cat_013;cat_1;cat_01;cat_7;cat_3;0;1;0.33;0.1535948;0.190379603
344;15/01/2005;5/01/2006;func_255;cat_2;cat_11;cat_091;cat_2;cat_01;cat_1;cat_3;0.04;1;0.33;0.1437908;0.407659807
138;24/04/2005;13/03/2006;func_255;cat_2;cat_02;cat_423;cat_2;cat_01;cat_1;cat_3;0.04;1;0.33;0.1500588;0.37419429
557;24/04/2005;10/08/2006;func_255;cat_2;cat_09;cat_246;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1451569;0.535012631
1154;17/02/2005;8/08/2006;func_255;cat_2;cat_16;cat_315;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1681882;0.597610272
1234;27/11/2004;5/05/2005;func_112;cat_4;cat_05;cat_212;cat_2;cat_01;cat_4;cat_3;0.12;1;0.5;0.3294118;0.222086553
1234;5/05/2005;1/12/2005;func_197;cat_4;cat_05;cat_212;cat_2;cat_01;cat_4;cat_3;0.08;1;0.42;0.1531216;0.2640619
271;17/02/2005;23/08/2006;func_216;cat_2;cat_19;cat_362;cat_2;cat_01;cat_4;cat_3;0.04;0.9;0.33;0.173202;0.611409363
720;17/02/2005;4/07/2006;func_216;cat_2;cat_26;cat_337;cat_2;cat_01;cat_4;cat_2;0.04;1;0.33;0.167019;0.563900238
